"Plaza/Time","2012-09-30 21:00:00","2012-09-30 23:00:00","2012-10-01 01:00:00","2012-10-01 03:00:00","2012-10-01 05:00:00","2012-10-01 07:00:00","2012-10-01 09:00:00","2012-10-01 11:00:00","2012-10-01 13:00:00","2012-10-01 15:00:00","2012-10-01 17:00:00","2012-10-01 19:00:00","2012-10-01 21:00:00","2012-10-01 23:00:00"
"Times Square","21","15","5","2","3","20","22","13","17","19","32","37","21","13"
"City Hall Park","0","0","0","0","1","4","5","3","6","4","11","2","0","1"
"Petrosino Square","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Eventi - A Kimpton Hotel","1","1","0","0","0","1","3","1","1","1","1","4","4","1"
"Worth Square","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"East Midtown Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Union Square Steps","0","0","0","0","0","1","0","1","0","0","0","2","1","0"
"Alamo ""The Cube""","1","0","0","0","0","0","0","1","0","0","0","1","2","0"
"Herald Square","1","3","1","0","0","10","8","4","11","12","15","4","4","21"
"Grace Plaza","0","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Gould Plaza","0","0","0","0","0","0","1","5","1","1","0","0","1","0"
"Greeley Square","0","0","0","0","0","1","3","2","3","0","4","1","1","0"
"Astor Place","1","1","0","0","0","2","0","2","2","1","1","2","2","0"
"US Post Office","1","0","0","1","0","3","0","0","4","2","5","1","1","0"
"Con Edison 2012 Picket Line","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Flatiron Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Battery Park","0","2","0","1","0","1","3","11","8","5","0","1","0","0"
"Bryant Park","4","0","0","0","2","12","13","18","47","22","29","10","11","1"
"Bleecker Street","1","0","0","0","0","0","1","0","0","0","0","1","0","0"
"Waterside Plaza","1","0","0","0","0","0","0","0","0","0","1","1","1","0"
"Christopher Park","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Worldwide Plaza","1","0","0","0","0","0","2","2","2","1","0","1","1","0"
"Kimlau Square","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Benches at Hester and Allen","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Union Square Circle","1","0","0","0","0","1","0","0","2","3","1","0","0","0"
"Trump SoHo New York","2","0","0","1","0","0","1","0","0","0","1","0","0","0"
"us olympic committee - 100 days to london","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cooper Square","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"Rockefeller Center","8","4","0","1","1","6","9","17","15","11","13","11","5","3"
"Columbus Circle","6","0","2","0","2","5","11","14","7","11","19","13","2","1"
"The Cube","1","0","0","0","0","0","0","1","0","0","0","1","2","0"
"South Street Seaport","0","0","0","0","1","1","4","3","4","5","4","4","2","0"
"34th Street","0","0","0","0","0","1","2","1","4","2","3","1","0","1"
"Foley Square","0","0","0","0","0","0","0","1","3","1","1","0","0","0"
"Under The Manhattan Bridge, Manhattan","0","1","0","0","0","0","1","0","2","1","0","0","0","0"
"Samuel Dickstein Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abe Lebewohl Park","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Rockefeller Center Promenade","0","0","0","0","0","0","1","0","4","0","2","0","0","0"
"World Financial Center (WFC) Plaza","0","0","0","0","0","0","0","0","4","1","2","0","0","0"
"Lincoln Center Plaza (Josie Robertson Plaza)","1","0","0","0","0","0","0","0","6","1","3","2","1","0"
"Rockefeller Plaza","0","0","0","0","0","1","1","1","0","2","1","1","0","0"
"St. Mark's Place","0","0","0","0","0","0","0","1","0","1","1","2","0","0"
"W New York - Times Square","5","3","1","0","1","3","2","4","6","2","2","6","8","10"
"Paramount Plaza","0","0","0","0","0","4","3","1","0","1","1","0","0","0"
"Confucius Plaza","0","0","0","0","0","1","0","1","1","0","0","0","0","0"
"Third North Courtyard Cafe","0","0","0","0","0","0","0","1","0","1","0","4","1","0"
"Father Demo Square","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deutsche Bank","0","0","0","0","0","3","4","1","1","1","2","2","0","0"
"Cooper Triangle","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Stuyvesent Town 20th Street Loop","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
